AIMed_d30@1	Isolation of human PROTEINT1 and its binding specificity with PROTEINT2
AIMed_d41@3	PROTEINT1 bind to the PROTEINT0 PROTEINT2 PROTEINT0 a receptor by which cell acquire iron-loaded PROTEINT0
AIMed_d41@3	PROTEINT1 bind to the PROTEINT0 PROTEINT0 PROTEINT2 a receptor by which cell acquire iron-loaded PROTEINT0
AIMed_d41@4	The 2.8 A crystal structure of a complex between the extracellular portion of PROTEINT1 and PROTEINT2 show two PROTEINT0 molecule which grasp each side of a twofold symmetric PROTEINT0 dimer
AIMed_d41@4	The 2.8 A crystal structure of a complex between the extracellular portion of PROTEINT0 and PROTEINT0 show two PROTEINT1 molecule which grasp each side of a twofold symmetric PROTEINT2 dimer
AIMed_d41@5	On a cell membrane contain both protein PROTEINT0 would lie down parallel to the membrane such that the PROTEINT1 helix that delineate the counterpart of the MHC peptide-binding groove make extensive contact with helix in the PROTEINT2 dimerization domain
AIMed_d41@6	The structure of PROTEINT1 alone and complexe with PROTEINT2 differ in their domain arrangement and dimer interface provide a mechanism for communicate binding event between PROTEINT0 chain
AIMed_d41@7	The PROTEINT1 PROTEINT2 complex suggest a bind site for transferrin on PROTEINT0 and shed light upon the function of PROTEINT0 in regulate iron homeostasis
AIMed_d90@6	We have characterize the physical and functional interaction between PROTEINT1 and PROTEINT2 a leucine zipper transcription factor implicate in inflammatory response
AIMed_d90@7	We find that deletion of the carboxyl-terminal 28 amino acid of PROTEINT0 disrupt PROTEINT1 PROTEINT2 physical interaction
AIMed_d46@4	The binding epitope of PROTEINT1 for PROTEINT2 type I and PROTEINT0 or PROTEINT0 type II be characterize use PROTEINT0 mutant protein for analysis of interaction with receptor ectodomain
AIMed_d46@4	The binding epitope of PROTEINT1 for PROTEINT0 type I and PROTEINT2 or PROTEINT0 type II be characterize use PROTEINT0 mutant protein for analysis of interaction with receptor ectodomain
AIMed_d46@4	The binding epitope of PROTEINT1 for PROTEINT0 type I and PROTEINT0 or PROTEINT2 type II be characterize use PROTEINT0 mutant protein for analysis of interaction with receptor ectodomain
AIMed_d46@5	A large epitope 1 for high-affinity PROTEINT1 binding be detect span the interface of the PROTEINT2 dimer
AIMed_d222@2	The protein product of PROTEINT1 proto-oncogene be know to interact with several protein include PROTEINT2 PROTEINT0 and PROTEINT0 and be think to regulate signalling by many cell surface receptor
AIMed_d222@2	The protein product of PROTEINT1 proto-oncogene be know to interact with several protein include PROTEINT0 PROTEINT2 and PROTEINT0 and be think to regulate signalling by many cell surface receptor
AIMed_d222@2	The protein product of PROTEINT1 proto-oncogene be know to interact with several protein include PROTEINT0 PROTEINT0 and PROTEINT2 and be think to regulate signalling by many cell surface receptor
AIMed_d222@3	The precise function of PROTEINT0 in these pathway be not clear although a genetic analysis in Caenorhabditis elegan suggest that PROTEINT1 be a negative regulator of the PROTEINT0 PROTEINT2
AIMed_d222@5	The screen identify interaction involve PROTEINT1 and two 14-3-3 isoform PROTEINT2 human unconventional myosin IC and a recently identify SH3 domain contain protein PROTEINT0
AIMed_d222@5	The screen identify interaction involve PROTEINT1 and two 14-3-3 isoform PROTEINT0 human unconventional myosin IC and a recently identify SH3 domain contain protein PROTEINT2
AIMed_d97@5	In transfecte COS-1 cell PROTEINT1 PROTEINT0 and less efficiently PROTEINT0 bind to PROTEINT2
AIMed_d97@5	In transfecte COS-1 cell PROTEINT0 PROTEINT1 and less efficiently PROTEINT0 bind to PROTEINT2
AIMed_d97@5	In transfecte COS-1 cell PROTEINT0 PROTEINT0 and less efficiently PROTEINT1 bind to PROTEINT2
AIMed_d97@7	Binding of PROTEINT1 PROTEINT0 to PROTEINT2 be also observe in nontransfected cell line
AIMed_d97@7	Binding of PROTEINT0 PROTEINT1 to PROTEINT2 be also observe in nontransfected cell line
AIMed_d97@8	Moreover a transcriptional activation signal be transduce by PROTEINT1 in the presence of type I receptor after stimulation by PROTEINT2 PROTEINT0
AIMed_d97@8	Moreover a transcriptional activation signal be transduce by PROTEINT1 in the presence of type I receptor after stimulation by PROTEINT0 PROTEINT2
AIMed_d135@3	The cell surface form of PROTEINT1 be assemble during biosynthesis as a heteromeric complex with PROTEINT2 PROTEINT0 a type II transmembrane protein that be another member of the TNF ligand family
AIMed_d135@3	The cell surface form of PROTEINT1 be assemble during biosynthesis as a heteromeric complex with PROTEINT0 PROTEINT2 a type II transmembrane protein that be another member of the TNF ligand family
AIMed_d135@4	Secrete PROTEINT0 be a homotrimer that bind to distinct TNF receptor of 60 and 80 kilodalton however these receptor do not recognize the major cell surface PROTEINT1 PROTEINT2 complex
AIMed_d198@2	Mutagenesis of the PROTEINT1 PROTEINT0 PROTEINT2 permit analysis of the contribution that individual amino acid residue make to PROTEINT0 PROTEINT0 binding
AIMed_d198@3	We employ both random and site-specific mutagenesis to determine the function of amino acid residue in the extracellular domain refer to as PROTEINT1 PROTEINT0 PROTEINT2 of the PROTEINT0
AIMed_d149@1	The SH2/SH3 domain-containing protein PROTEINT1 interact with tyrosine-phosphorylated PROTEINT2 and PROTEINT0 implication for insulin control of PROTEINT0 signalling
AIMed_d149@1	The SH2/SH3 domain-containing protein PROTEINT1 interact with tyrosine-phosphorylated PROTEINT0 and PROTEINT2 implication for insulin control of PROTEINT0 signalling
AIMed_d149@6	The interaction between PROTEINT0 and these two protein require ligand activation of the PROTEINT0 and be mediate by the binding of the SH2 domain of PROTEINT1 to phosphotyrosine on both PROTEINT2 and PROTEINT0
AIMed_d149@6	The interaction between PROTEINT0 and these two protein require ligand activation of the PROTEINT0 and be mediate by the binding of the SH2 domain of PROTEINT1 to phosphotyrosine on both PROTEINT0 and PROTEINT2
AIMed_d149@7	Although PROTEINT1 associate with PROTEINT2 and PROTEINT0 it be not tyrosine-phosphorylate after PROTEINT0 stimulation imply that PROTEINT0 be not a substrate for the insulin receptor
AIMed_d149@7	Although PROTEINT1 associate with PROTEINT0 and PROTEINT2 it be not tyrosine-phosphorylate after PROTEINT0 stimulation imply that PROTEINT0 be not a substrate for the insulin receptor
AIMed_d149@8	Furthermore we have identify a short sequence motif YV/IN present in PROTEINT1 PROTEINT0 and PROTEINT0 which specifically bind the SH2 domain of PROTEINT2 with high affinity
AIMed_d149@8	Furthermore we have identify a short sequence motif YV/IN present in PROTEINT0 PROTEINT1 and PROTEINT0 which specifically bind the SH2 domain of PROTEINT2 with high affinity
AIMed_d149@8	Furthermore we have identify a short sequence motif YV/IN present in PROTEINT0 PROTEINT0 and PROTEINT1 which specifically bind the SH2 domain of PROTEINT2 with high affinity
AIMed_d149@9	Interestingly both PROTEINT1 and PROTEINT0 can simultaneously bind distinct tyrosine phosphorylated region on the same PROTEINT2 molecule suggest a mechanism whereby PROTEINT0 could provide the core for a large signalling complex
AIMed_d149@9	Interestingly both PROTEINT0 and PROTEINT1 can simultaneously bind distinct tyrosine phosphorylated region on the same PROTEINT2 molecule suggest a mechanism whereby PROTEINT0 could provide the core for a large signalling complex
AIMed_d149@10	We propose a model whereby insulin stimulation lead to formation of multiple protein--protein interaction between PROTEINT1 and the two target PROTEINT2 and PROTEINT0
AIMed_d149@10	We propose a model whereby insulin stimulation lead to formation of multiple protein--protein interaction between PROTEINT1 and the two target PROTEINT0 and PROTEINT2
AIMed_d100@8	Recombinant PROTEINT1 bind directly to PROTEINT2 both in vitro and in yeast and participate in the formation of the PROTEINT0 complex
AIMed_d217@1	Characterization of PROTEINT1 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT2 interaction
AIMed_d217@1	Characterization of PROTEINT0 PROTEINT1 PROTEINT0 PROTEINT0 PROTEINT2 interaction
AIMed_d217@1	Characterization of PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT0 PROTEINT2 interaction
AIMed_d217@2	The death-inducing receptor PROTEINT1 be activate when cross-linke by the type II membrane protein PROTEINT0 PROTEINT2 PROTEINT0
AIMed_d217@2	The death-inducing receptor PROTEINT1 be activate when cross-linke by the type II membrane protein PROTEINT0 PROTEINT0 PROTEINT2
AIMed_d217@2	The death-inducing receptor PROTEINT0 be activate when cross-linke by the type II membrane protein PROTEINT1 PROTEINT0 PROTEINT2
AIMed_d217@4	Base on the structure of the closely related PROTEINT1 PROTEINT2 complex a molecular model of the PROTEINT0 homotrimer bind to three PROTEINT0 molecule be generate use knowledge-based protein modeling method
AIMed_d217@4	Base on the structure of the closely related PROTEINT0 PROTEINT0 complex a molecular model of the PROTEINT1 homotrimer bind to three PROTEINT2 molecule be generate use knowledge-based protein modeling method
AIMed_d217@8	Although the cytotoxic activity of mutant Y218D be unaltered mutant Y218R be inactive correlate with the prediction that Tyr-218 of PROTEINT1 interact with a cluster of three basic amino acid side chain of PROTEINT2
AIMed_d107@1	A direct interaction between PROTEINT1 subunit and the PROTEINT2
AIMed_d107@3	Use a yeast two-hybrid strategy to identify other protein that interact with and potentially regulate PROTEINT1 we isolate a clone encode the carboxyl-terminal half of the PROTEINT2 of heterotrimeric G-protein
AIMed_d107@4	In vitro purify PROTEINT1 subunit specifically bind to a GST fusion protein encode amino acid 1-330 of PROTEINT2 PROTEINT0
AIMed_d107@4	In vitro purify PROTEINT1 subunit specifically bind to a GST fusion protein encode amino acid 1-330 of PROTEINT0 PROTEINT2
AIMed_d107@6	In competition experiment the carboxyl terminus of PROTEINT0 PROTEINT0 block the binding of PROTEINT1 to PROTEINT2 however the PROTEINT0 bind protein PROTEINT0 and 14-3-3 have no effect
AIMed_d107@6	In competition experiment the carboxyl terminus of PROTEINT0 PROTEINT0 block the binding of PROTEINT0 to PROTEINT0 however the PROTEINT1 bind protein PROTEINT2 and 14-3-3 have no effect
AIMed_d107@7	Scatchard analysis of in vitro binding between PROTEINT1 and PROTEINT2 reveal an affinity of interaction Kd 163 36 nM similar to that see between PROTEINT0 and PROTEINT0 Kd 87 24 nM
AIMed_d107@7	Scatchard analysis of in vitro binding between PROTEINT0 and PROTEINT0 reveal an affinity of interaction Kd 163 36 nM similar to that see between PROTEINT1 and PROTEINT2 Kd 87 24 nM
AIMed_d107@9	In vivo complex of PROTEINT1 and PROTEINT2 be isolate from human embryonic kidney 293-T cell transfecte with epitope-tagged PROTEINT0
AIMed_d210@1	Cross-family interaction between the bHLHZip PROTEINT1 and bZip PROTEINT2 protein result in down-regulation of PROTEINT0 activity
AIMed_d210@4	A bZip protein PROTEINT1 be find to efficiently interact with PROTEINT2
AIMed_d210@5	PROTEINT1 specifically interact with PROTEINT2 but not with other closely related family member PROTEINT0 PROTEINT0 PROTEINT0 or with PROTEINT0
AIMed_d210@6	Both the bHLHZip and the N-terminal region of PROTEINT1 be require for efficient interaction with PROTEINT2
AIMed_d210@7	In vivo association between PROTEINT1 and PROTEINT2 have be demonstrate by co-immunoprecipitation
AIMed_d210@10	These datum show that PROTEINT1 and PROTEINT2 physically and functionally interact demonstrate that cross-talk occur between factor of distantly related transcription family
AIMed_d74@2	Two cDNA clone encode a receptor for human PROTEINT1 PROTEINT2 be isolate by expression screening of a library make from human placental mRNA
AIMed_d74@6	When transfecte into COS cell the clone cDNA direct the expression of a PROTEINT1 show a single class of affinity KD 2 8 nM and specificity for human PROTEINT2 but not PROTEINT0
AIMed_d175@1	Physical interaction of mammalian PROTEINT1 with PROTEINT2
AIMed_d175@5	We have detect a specific association of PROTEINT1 with the molecular chaperon PROTEINT2 and a 44-kDa protein that we identify as mammalian PROTEINT0
AIMed_d175@5	We have detect a specific association of PROTEINT1 with the molecular chaperon PROTEINT0 and a 44-kDa protein that we identify as mammalian PROTEINT2
AIMed_d175@6	A physical interaction between PROTEINT1 and PROTEINT2 suggest that PROTEINT0 may regulate the mammalian cell cycle through a direct effect on PROTEINT0
AIMed_d175@6	A physical interaction between PROTEINT0 and PROTEINT0 suggest that PROTEINT1 may regulate the mammalian cell cycle through a direct effect on PROTEINT2
AIMed_d175@7	Association of PROTEINT1 with both PROTEINT2 and PROTEINT0 may also imply a mechanistic link between the function of PROTEINT0 and PROTEINT0
AIMed_d175@7	Association of PROTEINT1 with both PROTEINT0 and PROTEINT2 may also imply a mechanistic link between the function of PROTEINT0 and PROTEINT0
AIMed_d109@1	Crystal structure of the heterodimeric bZIP transcription factor PROTEINT1 PROTEINT2 bind to DNA
AIMed_d109@2	The PROTEINT1 and PROTEINT2 family of eukaryotic transcription factor heterodimerize to form complex capable of binding 5'-TGAGTCA-3 DNA element
AIMed_d109@3	We have determine the X-ray crystal structure of a heterodimer of the bZIP region of PROTEINT1 and PROTEINT2 bind to DNA
AIMed_d109@6	Comparison of the two crystallographically distinct protein-DNA complex show that the coiled-coil be flexibly join to the basic region and that the PROTEINT1 PROTEINT2 heterodimer do not recognize the asymmetric 5'-TGAGTCA-3 recognition element in a unique orientation
AIMed_d219@1	PROTEINT1 negatively regulate PROTEINT2 activity by interaction with the PROTEINT0 cysteine-rich domain
AIMed_d219@1	PROTEINT1 negatively regulate PROTEINT0 activity by interaction with the PROTEINT2 cysteine-rich domain
AIMed_d219@3	We recently report that PROTEINT1 interaction with the PROTEINT0 PROTEINT2 PROTEINT0 residue 139-184 may be require for PROTEINT0 activation
AIMed_d219@3	We recently report that PROTEINT1 interaction with the PROTEINT0 PROTEINT0 PROTEINT2 residue 139-184 may be require for PROTEINT0 activation
AIMed_d219@7	In the present study we demonstrate that PROTEINT1 bind directly to the isolate PROTEINT2
AIMed_d219@8	Moreover mutation of PROTEINT1 residue 143-145 impair binding of 14-3-3 but not PROTEINT2 to the PROTEINT0
AIMed_d219@8	Moreover mutation of PROTEINT1 residue 143-145 impair binding of 14-3-3 but not PROTEINT0 to the PROTEINT2
AIMed_d172@1	PROTEINT0 PROTEINT1 a ligand and specific activator of the tyrosine kinase receptor PROTEINT2
